2025-02-08T22:30:00, [15123, 15251, 15187, 15187, 15203, 15203, 15187, 15203, 15139, 15203], [12739, 12739, 12755, 12771, 12739, 12755, 12723, 12755, 12755, 12803], [9234, 9234, 9218, 9234, 9234, 9250, 9234, 9234, 9234, 9234]
2025-02-08T22:45:00, [15283, 15203, 15203, 15235, 15171, 15203, 15187, 15299, 15187, 15139], [12755, 12755, 12819, 12755, 12739, 12755, 12755, 12755, 12755, 12723], [9218, 9218, 9234, 9250, 9250, 9234, 9250, 9234, 9234, 9218]
2025-02-08T23:00:00, [15251, 15171, 15171, 15187, 15171, 15123, 15171, 15171, 15155, 15187], [12739, 12739, 12835, 12755, 12739, 12739, 12755, 12739, 12739, 12723], [9218, 9170, 9234, 9218, 9122, 9234, 9234, 9234, 9250, 9234]
2025-02-08T23:15:00, [15203, 15187, 15219, 15187, 15235, 15219, 15363, 15203, 15235, 15235], [12723, 12755, 12739, 12755, 12755, 12755, 12739, 12771, 12723, 12739], [9234, 9218, 9234, 9218, 9282, 9218, 9234, 9218, 9234, 9218]
2025-02-08T23:30:00, [15219, 15235, 15219, 15203, 15251, 15235, 15219, 15235, 15203, 15203], [12755, 12739, 12739, 12707, 12723, 12771, 12739, 12771, 12771, 12739], [9218, 9250, 9218, 9218, 9202, 9218, 9234, 9234, 9250, 9218]
2025-02-08T23:45:00, [15235, 15235, 15235, 15267, 15219, 15235, 15267, 15251, 15235, 15203], [12755, 12787, 12755, 12755, 12739, 12755, 12755, 12691, 12755, 12755], [9250, 9250, 9234, 9218, 9250, 9234, 9234, 9250, 9234, 9218]
2025-02-09T00:00:00, [15187, 15219, 15267, 15235, 15283, 15235, 15251, 15203, 15251, 15235], [12739, 12771, 12755, 12739, 12755, 12739, 12739, 12755, 12755, 12755], [9218, 9234, 9234, 9250, 9186, 9234, 9234, 9218, 9218, 9234]
2025-02-09T00:15:00, [15219, 15219, 15251, 15235, 15299, 15235, 15235, 15187, 15219, 15219], [12723, 12739, 12723, 12755, 12739, 12755, 12755, 12723, 12739, 12739], [9234, 9218, 9250, 9234, 9218, 9234, 9218, 9234, 9234, 9234]
2025-02-09T00:30:00, [15235, 15203, 15235, 15171, 15203, 15219, 15235, 15155, 15219, 15203], [12755, 12739, 12739, 12739, 12739, 12739, 12739, 12755, 12739, 12707], [9154, 9234, 9218, 9234, 9234, 9170, 9218, 9218, 9250, 9218]
2025-02-09T00:45:00, [15171, 15139, 15171, 15139, 15203, 15187, 15203, 15187, 15187, 15187], [12739, 12739, 12739, 12723, 12755, 12739, 12723, 12739, 12739, 12739], [9218, 9234, 9186, 9234, 9218, 9218, 9234, 9186, 9202, 9234]
2025-02-09T01:00:00, [15203, 15187, 15187, 15203, 15075, 15171, 15203, 15203, 15187, 15187], [12723, 12739, 12739, 12739, 12739, 12739, 12739, 12675, 12739, 12723], [9202, 9250, 9234, 9218, 9234, 9234, 9186, 9218, 9218, 9218]
