Time,SM1_5cm Vol %,RDP1_5cm,ST1_5cm deg C,SM2_15cm Vol %,RDP2_15cm,ST2_15cm deg C,SM3_50cm Vol %,RDP3_50cm,ST3_50cm deg C,HFP01_W/m2,HFP02_W/m2,System Voltage,System Temp,Modem Signal
28-Feb-25 9:00:00,15.600,9.464,26.400,20.000,12.105,27.800,19.600,11.817,27.500,-6.957,-13.179,13.760,24.500,90.000
28-Feb-25 9:15:00,15.600,9.464,26.400,20.000,12.103,27.800,19.600,11.817,27.500,-1.739,-8.237,14.351,26.000,
28-Feb-25 9:30:00,15.600,9.464,26.400,20.000,12.103,27.800,19.600,11.817,27.500,3.479,-3.294,14.351,26.700,
28-Feb-25 9:45:00,15.900,9.608,26.200,20.000,12.101,27.800,19.300,11.640,27.500,8.697,1.647,13.793,27.300,
28-Feb-25 10:00:00,15.600,9.464,26.400,20.000,12.101,27.500,19.300,11.672,27.500,13.915,8.237,13.813,27.800,80.000
28-Feb-25 10:15:00,15.800,9.584,26.400,19.500,11.749,27.500,19.600,11.817,27.500,17.394,11.532,13.840,28.800,
28-Feb-25 10:30:00,15.600,9.466,26.400,19.700,11.910,27.500,19.600,11.817,27.500,19.133,14.827,14.048,29.500,
28-Feb-25 10:45:00,15.900,9.610,26.400,19.500,11.749,27.500,19.600,11.817,27.500,20.873,18.121,13.813,30.000,
28-Feb-25 11:00:00,15.500,9.365,26.700,19.700,11.878,27.500,19.900,12.021,27.500,27.830,24.711,14.290,30.500,77.000
28-Feb-25 11:15:00,15.900,9.632,26.700,19.700,11.878,27.500,19.600,11.817,27.500,34.788,31.301,13.840,32.000,80.000
28-Feb-25 11:30:00,15.800,9.533,26.900,19.900,12.038,27.500,19.600,11.817,27.500,41.746,36.243,14.183,32.000,77.000
28-Feb-25 11:45:00,15.700,9.516,26.900,18.600,11.209,27.200,19.600,11.817,27.500,46.964,42.832,14.626,31.800,80.000
28-Feb-25 12:00:00,16.100,9.702,27.200,19.900,12.036,27.500,19.900,12.021,27.500,55.661,49.422,13.840,32.000,83.000
28-Feb-25 12:15:00,16.100,9.704,27.200,19.500,11.747,27.500,19.500,11.785,27.500,60.879,54.364,13.847,32.500,80.000
28-Feb-25 12:30:00,15.600,9.433,27.500,19.700,11.910,27.500,19.200,11.610,27.500,67.837,60.954,13.854,32.300,83.000
28-Feb-25 12:45:00,15.900,9.609,27.800,20.000,12.068,27.500,19.600,11.817,27.500,71.315,65.896,13.854,32.000,83.000
28-Feb-25 13:00:00,16.200,9.777,28.000,19.500,11.749,27.500,19.600,11.817,27.500,76.534,69.191,13.854,31.800,83.000
28-Feb-25 13:15:00,15.700,9.512,28.300,20.000,12.100,27.500,19.600,11.817,27.500,78.273,74.133,13.854,31.000,
28-Feb-25 13:30:00,16.300,9.849,28.600,19.200,11.556,27.500,18.900,11.399,27.500,80.012,75.780,13.874,30.800,
28-Feb-25 13:45:00,16.100,9.751,28.900,19.700,11.912,27.500,19.600,11.817,27.500,81.752,79.075,14.485,31.000,
28-Feb-25 14:00:00,16.100,9.755,29.200,20.000,12.103,27.800,19.600,11.817,27.500,81.752,80.723,13.860,30.800,74.000
28-Feb-25 14:15:00,16.000,9.655,29.500,19.800,11.977,27.800,19.600,11.817,27.500,80.012,82.370,13.860,31.000,
28-Feb-25 14:30:00,16.300,9.830,29.800,19.800,11.979,27.800,19.600,11.817,27.500,76.534,82.370,13.854,31.000,
28-Feb-25 14:45:00,16.300,9.833,30.100,19.800,11.981,28.000,19.300,11.640,27.500,74.794,82.370,13.847,31.300,
28-Feb-25 15:00:00,16.600,10.005,30.400,19.800,11.983,28.000,19.900,12.021,27.500,73.055,80.723,13.961,31.500,80.000
28-Feb-25 15:15:00,16.400,9.907,30.700,20.100,12.176,28.000,19.300,11.640,27.500,69.576,80.723,13.854,32.500,
28-Feb-25 15:30:00,16.400,9.910,30.700,19.900,12.049,28.300,19.600,11.817,27.500,66.097,79.075,13.854,32.800,
28-Feb-25 15:45:00,16.700,10.083,31.100,19.700,11.889,28.300,19.300,11.640,27.500,60.879,75.780,13.807,33.300,
28-Feb-25 16:00:00,16.300,9.831,31.400,20.200,12.247,28.300,19.700,11.878,27.500,55.661,72.486,13.867,33.800,77.000
28-Feb-25 16:15:00,16.500,9.985,31.400,20.000,12.088,28.600,19.600,11.817,27.500,50.443,69.191,13.820,34.500,
28-Feb-25 16:30:00,16.500,9.988,31.700,20.000,12.090,28.600,19.800,11.957,27.500,45.224,65.896,13.786,34.500,
28-Feb-25 16:45:00,16.400,9.885,31.700,20.600,12.473,28.900,19.900,12.019,27.500,40.006,60.954,13.860,34.500,
28-Feb-25 17:00:00,16.600,10.011,32.100,19.800,11.962,28.900,19.600,11.817,27.500,34.788,57.659,14.109,33.800,77.000
