Time,SM1_5cm Vol %,RDP1_5cm,ST1_5cm deg C,SM2_15cm Vol %,RDP2_15cm,ST2_15cm deg C,SM3_50cm Vol %,RDP3_50cm,ST3_50cm deg C,HFP01_W/m2,HFP02_W/m2,System Voltage,System Temp,Modem Signal
17-Feb-25 9:00:00,16.900,10.221,23.300,20.300,12.260,24.900,20.100,12.138,25.900,-10.436,-16.474,13.807,22.200,80.000
17-Feb-25 9:15:00,17.200,10.345,23.300,20.500,12.388,24.900,19.900,11.997,25.900,-5.218,-9.884,13.793,24.200,
17-Feb-25 9:30:00,16.900,10.221,23.300,20.500,12.388,24.900,19.900,11.997,25.900,-1.739,-4.942,13.854,25.000,
17-Feb-25 9:45:00,17.400,10.495,23.300,21.000,12.731,24.900,20.100,12.140,25.900,1.739,-1.647,13.854,26.500,
17-Feb-25 10:00:00,17.400,10.495,23.300,20.500,12.386,24.900,20.100,12.140,25.900,1.739,0.000,14.129,27.300,80.000
17-Feb-25 10:15:00,17.400,10.496,23.300,20.500,12.384,24.700,19.900,11.997,25.900,5.218,1.647,14.075,28.300,
17-Feb-25 10:30:00,17.400,10.497,23.500,20.500,12.384,24.700,20.100,12.140,25.900,12.176,4.942,13.854,28.800,
17-Feb-25 10:45:00,17.200,10.397,23.500,20.500,12.382,24.700,20.100,12.140,25.900,19.133,11.532,13.847,29.000,
17-Feb-25 11:00:00,17.200,10.398,23.500,20.500,12.382,24.700,20.100,12.140,25.900,27.830,19.769,13.840,29.800,77.000
17-Feb-25 11:15:00,17.000,10.274,23.700,19.000,11.454,24.700,19.800,11.964,25.900,34.788,29.653,13.854,31.300,80.000
17-Feb-25 11:30:00,17.500,10.574,23.700,20.500,12.382,24.700,20.100,12.140,25.900,41.746,37.890,13.874,31.300,83.000
17-Feb-25 11:45:00,17.100,10.300,23.900,20.500,12.382,24.700,20.100,12.140,25.900,48.703,44.480,13.860,31.500,83.000
17-Feb-25 12:00:00,17.400,10.477,24.200,20.500,12.382,24.700,20.100,12.140,25.900,55.661,51.069,13.854,31.500,80.000
17-Feb-25 12:15:00,17.200,10.354,24.400,20.400,12.351,24.700,19.800,11.933,25.900,60.879,57.659,13.840,31.800,77.000
17-Feb-25 12:30:00,17.200,10.378,24.700,20.500,12.382,24.700,20.100,12.140,25.900,66.097,62.601,13.840,31.300,77.000
17-Feb-25 12:45:00,17.500,10.557,24.900,21.300,12.964,24.700,20.100,12.140,25.900,71.315,67.543,13.854,31.300,87.000
17-Feb-25 13:00:00,17.500,10.561,24.900,20.800,12.574,24.700,20.100,12.140,25.900,73.055,70.838,13.860,31.300,80.000
17-Feb-25 13:15:00,17.800,10.739,25.100,20.500,12.417,24.700,19.200,11.574,25.900,76.534,74.133,13.867,30.500,
17-Feb-25 13:30:00,17.400,10.459,25.600,20.000,12.062,24.900,20.100,12.140,25.900,78.273,77.428,13.854,30.000,
17-Feb-25 13:45:00,17.200,10.360,25.600,20.300,12.258,24.900,19.800,11.964,25.900,78.273,79.075,13.854,30.000,
17-Feb-25 14:00:00,17.200,10.386,26.200,20.300,12.260,24.900,19.800,11.964,25.900,76.534,80.723,13.860,30.300,83.000
17-Feb-25 14:15:00,17.500,10.569,26.400,20.600,12.456,24.900,20.100,12.138,25.900,76.534,82.370,13.867,30.800,
17-Feb-25 14:30:00,17.800,10.729,26.700,20.800,12.615,25.100,20.100,12.138,25.900,74.794,84.017,13.860,30.800,
17-Feb-25 14:45:00,17.700,10.650,26.700,20.600,12.459,25.100,20.100,12.138,25.900,71.315,82.370,13.907,31.000,
17-Feb-25 15:00:00,17.900,10.761,27.200,20.600,12.493,25.400,19.800,11.964,25.900,67.837,82.370,13.854,31.500,77.000
17-Feb-25 15:15:00,17.700,10.657,27.200,19.700,11.905,25.400,19.800,11.964,25.900,64.358,79.075,13.833,32.300,
17-Feb-25 15:30:00,17.500,10.551,27.500,20.300,12.304,25.400,19.800,11.964,25.900,60.879,77.428,13.793,32.500,
17-Feb-25 15:45:00,17.800,10.736,27.800,20.400,12.370,25.600,20.100,12.138,25.900,55.661,74.133,13.894,32.800,
17-Feb-25 16:00:00,17.800,10.740,27.800,20.400,12.372,25.400,20.100,12.138,25.900,50.443,70.838,14.297,33.300,80.000
17-Feb-25 16:15:00,17.800,10.742,28.000,20.700,12.569,25.600,20.100,12.138,25.900,43.485,65.896,13.854,33.500,
17-Feb-25 16:30:00,17.600,10.636,28.300,20.700,12.571,25.900,20.100,12.138,25.900,38.267,62.601,13.854,33.500,
17-Feb-25 16:45:00,18.100,10.926,28.300,20.500,12.443,25.900,20.100,12.138,25.900,33.049,57.659,13.854,33.500,
17-Feb-25 17:00:00,18.000,10.823,28.600,20.800,12.609,26.200,20.100,12.138,25.900,29.570,52.717,14.351,33.300,77.000
17-Feb-25 17:15:00,17.700,10.663,28.600,20.800,12.611,26.200,20.400,12.341,25.900,24.352,47.775,13.807,33.300,
17-Feb-25 17:30:00,18.000,10.825,28.600,20.600,12.482,26.400,20.100,12.138,25.900,20.873,42.832,13.820,32.500,
17-Feb-25 17:45:00,18.000,10.826,28.900,20.600,12.484,26.400,20.100,12.138,25.900,15.655,36.243,14.042,31.500,
17-Feb-25 18:00:00,18.000,10.826,28.900,20.600,12.486,26.400,20.100,12.138,25.900,12.176,29.653,13.927,30.500,80.000
17-Feb-25 18:15:00,18.000,10.826,28.900,20.900,12.685,26.700,20.100,12.138,25.900,8.697,23.064,13.760,29.000,
17-Feb-25 18:30:00,18.000,10.826,28.900,20.900,12.687,26.700,20.100,12.138,25.900,5.218,18.121,13.437,27.800,
17-Feb-25 18:45:00,18.000,10.825,28.600,20.700,12.558,26.700,20.100,12.138,25.900,1.739,13.179,13.155,26.200,
17-Feb-25 19:00:00,17.700,10.642,28.600,20.700,12.558,26.900,20.100,12.138,25.900,0.000,8.237,12.967,24.700,80.000
17-Feb-25 19:15:00,17.700,10.640,28.600,20.700,12.560,26.900,20.100,12.138,25.900,-3.478,3.295,12.860,23.700,
17-Feb-25 19:30:00,17.700,10.639,28.600,20.700,12.562,26.900,20.100,12.138,25.900,-5.218,0.000,12.833,22.700,
17-Feb-25 19:45:00,17.800,10.746,28.300,20.700,12.562,26.900,19.500,11.756,25.900,-6.957,-1.647,12.826,22.000,
17-Feb-25 20:00:00,17.800,10.745,28.300,20.700,12.562,26.900,20.100,12.138,25.900,-8.697,-4.942,12.819,20.700,80.000
17-Feb-25 20:15:00,17.800,10.745,28.300,20.700,12.564,26.900,20.100,12.138,25.900,-10.436,-6.589,12.819,20.700,
17-Feb-25 20:30:00,17.300,10.449,28.000,20.700,12.564,26.900,20.100,12.138,25.900,-12.175,-9.884,12.819,20.200,
17-Feb-25 20:45:00,17.500,10.559,28.000,20.700,12.564,27.200,20.100,12.138,25.900,-12.175,-9.884,12.819,20.000,
17-Feb-25 21:00:00,17.500,10.557,28.000,20.700,12.564,27.200,20.100,12.138,25.900,-13.915,-11.531,12.813,19.200,83.000
17-Feb-25 21:15:00,17.500,10.556,27.800,20.700,12.566,27.200,20.100,12.138,25.900,-15.654,-13.179,12.806,18.500,
17-Feb-25 21:30:00,17.700,10.663,27.800,20.700,12.566,27.200,20.100,12.138,25.900,-15.654,-14.826,12.806,17.700,
17-Feb-25 21:45:00,17.700,10.661,27.800,20.700,12.566,27.200,20.100,12.138,25.900,-17.394,-16.474,12.799,17.200,
17-Feb-25 22:00:00,17.700,10.660,27.500,20.700,12.566,27.200,20.100,12.138,25.900,-19.133,-18.121,12.793,17.000,87.000
17-Feb-25 22:15:00,17.400,10.478,27.500,20.700,12.564,27.200,20.100,12.138,25.900,-19.133,-18.121,12.786,17.200,
17-Feb-25 22:30:00,17.400,10.475,27.500,20.700,12.564,27.200,20.100,12.138,25.900,-19.133,-18.121,12.779,17.200,
17-Feb-25 22:45:00,17.600,10.582,27.200,20.700,12.564,26.900,20.100,12.138,25.900,-19.133,-19.768,12.779,17.500,
17-Feb-25 23:00:00,17.600,10.580,26.900,20.700,12.562,26.900,20.100,12.138,25.900,-19.133,-18.121,12.772,18.000,83.000
17-Feb-25 23:15:00,17.600,10.579,26.900,20.700,12.562,26.900,20.100,12.138,25.900,-17.394,-18.121,12.766,18.000,
17-Feb-25 23:30:00,17.600,10.577,26.900,20.900,12.693,26.900,20.100,12.138,25.900,-17.394,-18.121,12.766,18.000,
17-Feb-25 23:45:00,17.700,10.681,26.900,20.700,12.562,26.900,20.100,12.138,25.900,-17.394,-18.121,12.759,17.700,
18-Feb-25 0:00:00,17.500,10.552,26.700,20.900,12.693,26.900,20.100,12.138,25.900,-17.394,-18.121,12.752,17.500,70.000
18-Feb-25 0:15:00,17.200,10.394,26.700,20.900,12.691,26.900,19.500,11.756,25.900,-17.394,-18.121,12.752,17.500,
18-Feb-25 0:30:00,17.400,10.500,26.700,20.900,12.691,26.900,20.100,12.138,25.900,-19.133,-19.768,12.746,17.000,
18-Feb-25 0:45:00,17.700,10.655,26.400,20.900,12.689,26.900,20.100,12.138,25.900,-19.133,-19.768,12.739,15.900,
18-Feb-25 1:00:00,17.400,10.498,26.400,20.900,12.689,26.900,20.100,12.138,25.900,-19.133,-19.768,12.739,15.700,67.000
18-Feb-25 1:15:00,17.700,10.652,26.400,20.900,12.689,26.700,19.500,11.756,25.900,-19.133,-21.416,12.725,15.400,
18-Feb-25 1:30:00,17.800,10.753,26.200,20.900,12.687,26.700,19.500,11.756,25.900,-20.872,-21.416,12.725,14.400,
18-Feb-25 1:45:00,17.400,10.473,26.200,20.900,12.687,26.700,20.100,12.138,25.900,-20.872,-21.416,12.719,14.400,
18-Feb-25 2:00:00,17.400,10.472,26.200,21.100,12.812,26.700,20.100,12.138,25.900,-20.872,-21.416,12.712,13.900,74.000
18-Feb-25 2:15:00,17.400,10.470,25.900,20.600,12.456,26.700,20.100,12.140,25.900,-20.872,-23.063,12.705,13.400,
18-Feb-25 2:30:00,17.500,10.574,25.900,20.600,12.456,26.700,19.500,11.757,25.900,-22.612,-23.063,12.699,12.900,
18-Feb-25 2:45:00,17.500,10.573,25.900,20.600,12.454,26.700,20.100,12.140,25.900,-22.612,-23.063,12.692,12.200,
18-Feb-25 3:00:00,17.500,10.573,25.900,20.600,12.454,26.400,20.100,12.140,25.900,-22.612,-24.711,12.692,11.700,74.000
18-Feb-25 3:15:00,17.500,10.570,25.600,20.600,12.452,26.400,19.800,11.966,25.900,-24.351,-24.711,12.685,11.200,
18-Feb-25 3:30:00,17.200,10.393,25.600,20.600,12.452,26.400,20.100,12.140,25.900,-24.351,-24.711,12.678,10.900,
18-Feb-25 3:45:00,17.200,10.392,25.600,20.600,12.452,26.400,20.100,12.140,25.900,-24.351,-26.358,12.672,10.700,
18-Feb-25 4:00:00,17.200,10.392,25.400,20.800,12.581,26.400,19.500,11.757,25.900,-24.351,-26.358,12.672,10.400,74.000
18-Feb-25 4:15:00,17.200,10.389,25.400,20.800,12.579,26.400,20.100,12.140,25.900,-26.091,-26.358,12.665,10.200,
18-Feb-25 4:30:00,17.400,10.493,25.400,20.800,12.579,26.400,19.500,11.757,25.900,-26.091,-26.358,12.658,9.700,
18-Feb-25 4:45:00,17.400,10.491,25.100,20.800,12.577,26.200,20.100,12.140,25.900,-26.091,-26.358,12.645,9.400,
18-Feb-25 5:00:00,17.400,10.490,25.100,20.800,12.577,26.200,20.100,12.140,25.900,-26.091,-28.005,12.638,9.200,87.000
18-Feb-25 5:15:00,17.100,10.315,24.900,20.500,12.380,26.200,20.100,12.140,25.900,-26.091,-28.005,12.631,9.200,
18-Feb-25 5:30:00,17.100,10.313,24.900,20.500,12.380,26.200,20.400,12.343,25.900,-26.091,-28.005,12.625,8.900,
18-Feb-25 5:45:00,17.100,10.312,24.900,20.600,12.508,26.200,20.100,12.140,25.900,-27.830,-28.005,12.625,8.700,
18-Feb-25 6:00:00,17.100,10.311,24.700,20.600,12.508,25.900,20.100,12.140,25.900,-27.830,-28.005,12.618,8.200,77.000
18-Feb-25 6:15:00,17.300,10.414,24.700,20.600,12.506,25.900,20.100,12.140,25.900,-27.830,-28.005,12.611,8.200,
18-Feb-25 6:30:00,17.300,10.413,24.700,20.900,12.698,25.900,20.100,12.140,25.900,-27.830,-29.653,12.605,7.900,
18-Feb-25 6:45:00,17.300,10.411,24.400,20.900,12.696,25.900,20.100,12.140,25.900,-27.830,-29.653,12.598,7.700,
18-Feb-25 7:00:00,17.000,10.237,24.400,20.600,12.504,25.900,19.800,11.966,25.900,-27.830,-29.653,12.658,7.700,74.000
18-Feb-25 7:15:00,17.400,10.511,24.400,20.100,12.144,25.600,20.100,12.140,25.900,-27.830,-29.653,12.920,7.700,
18-Feb-25 7:30:00,17.000,10.235,24.200,20.300,12.277,25.600,20.100,12.142,25.900,-27.830,-29.653,13.592,8.400,
18-Feb-25 7:45:00,17.000,10.233,24.200,20.300,12.275,25.600,20.100,12.140,25.900,-26.091,-29.653,13.807,10.200,
18-Feb-25 8:00:00,17.100,10.336,24.200,20.300,12.273,25.600,19.500,11.759,25.900,-24.351,-28.005,13.981,13.200,87.000
18-Feb-25 8:15:00,17.100,10.335,23.900,20.300,12.273,25.600,20.100,12.140,26.200,-22.612,-26.358,13.746,16.500,
18-Feb-25 8:30:00,17.100,10.335,23.900,20.600,12.465,25.600,19.500,11.759,25.900,-19.133,-23.063,14.075,19.200,
18-Feb-25 8:45:00,17.100,10.333,23.900,20.500,12.432,25.400,20.100,12.142,25.900,-13.915,-19.768,14.236,21.700,
