Time,SM1_5cm Vol %,RDP1_5cm,ST1_5cm deg C,SM2_15cm Vol %,RDP2_15cm,ST2_15cm deg C,SM3_50cm Vol %,RDP3_50cm,ST3_50cm deg C,HFP01_W/m2,HFP02_W/m2,System Voltage,System Temp,Modem Signal
12-Feb-25 9:00:00,18.200,10.954,22.600,21.100,12.794,24.400,20.400,12.319,25.600,-12.175,-16.474,14.216,22.700,83.000
12-Feb-25 9:15:00,18.200,10.954,22.400,21.300,12.916,24.200,20.400,12.319,25.600,-6.957,-11.531,13.854,25.000,
12-Feb-25 9:30:00,18.200,10.954,22.600,20.700,12.567,24.200,20.400,12.319,25.600,-3.478,-6.589,13.887,26.200,
12-Feb-25 9:45:00,18.200,10.954,22.600,20.700,12.565,24.200,20.400,12.319,25.400,0.000,-4.942,13.840,27.500,
12-Feb-25 10:00:00,18.000,10.848,22.600,20.400,12.369,24.200,20.400,12.319,25.600,5.218,-1.647,13.820,28.500,83.000
12-Feb-25 10:15:00,18.000,10.824,22.600,20.700,12.564,24.200,19.800,11.932,25.400,10.436,4.942,13.820,29.500,
12-Feb-25 10:30:00,18.000,10.850,22.600,20.400,12.369,24.200,20.400,12.319,25.600,19.133,11.532,14.189,30.000,
12-Feb-25 10:45:00,18.000,10.851,22.800,20.700,12.562,23.900,20.400,12.319,25.600,27.830,19.769,14.183,30.300,
12-Feb-25 11:00:00,18.000,10.853,22.800,20.400,12.367,24.200,20.400,12.319,25.600,36.527,28.006,13.840,30.800,80.000
12-Feb-25 11:15:00,18.500,11.141,23.000,20.700,12.562,23.900,20.400,12.321,25.600,45.224,36.243,13.840,31.300,80.000
12-Feb-25 11:30:00,18.300,11.039,23.000,19.900,12.042,23.300,19.700,11.901,25.400,52.182,42.832,13.854,31.800,77.000
12-Feb-25 11:45:00,18.300,11.042,23.300,19.500,11.780,23.700,20.000,12.081,25.400,59.140,49.422,13.854,32.500,80.000
12-Feb-25 12:00:00,18.100,10.889,23.300,20.400,12.367,23.900,20.300,12.256,25.400,64.358,54.364,13.860,32.500,77.000
12-Feb-25 12:15:00,18.600,11.228,23.700,21.000,12.721,23.900,20.400,12.321,25.600,69.576,60.954,13.833,32.300,80.000
12-Feb-25 12:30:00,18.400,11.078,23.700,19.600,11.812,23.700,20.300,12.256,25.400,73.055,65.896,13.860,32.000,77.000
12-Feb-25 12:45:00,17.900,10.814,23.900,19.800,11.970,23.900,20.600,12.462,25.600,76.534,69.191,13.860,31.800,83.000
12-Feb-25 13:00:00,18.300,11.028,24.400,20.500,12.402,24.200,20.000,12.081,25.400,78.273,72.486,13.927,31.500,83.000
12-Feb-25 13:15:00,18.300,11.032,24.700,20.400,12.370,24.200,19.400,11.688,25.400,80.012,75.780,13.874,30.300,
12-Feb-25 13:30:00,18.600,11.220,24.900,21.000,12.724,24.200,20.000,12.081,25.600,81.752,79.075,13.860,30.300,
12-Feb-25 13:45:00,18.400,11.116,25.100,21.100,12.792,24.200,19.400,11.688,25.400,81.752,80.723,13.854,30.300,
12-Feb-25 14:00:00,18.300,11.010,25.400,21.100,12.794,24.400,20.400,12.319,25.600,81.752,82.370,13.854,30.300,83.000
12-Feb-25 14:15:00,18.800,11.309,25.400,20.500,12.441,24.400,20.600,12.460,25.400,80.012,82.370,13.961,30.500,
12-Feb-25 14:30:00,18.600,11.204,25.600,20.800,12.636,24.400,20.000,12.081,25.400,78.273,82.370,14.082,30.500,
12-Feb-25 14:45:00,18.600,11.207,25.900,20.900,12.670,24.700,20.600,12.460,25.400,74.794,82.370,13.854,30.500,
12-Feb-25 15:00:00,18.400,11.099,25.900,20.300,12.279,24.700,20.000,12.081,25.400,71.315,82.370,13.867,31.000,77.000
12-Feb-25 15:15:00,18.400,11.103,26.200,20.900,12.676,24.700,20.000,12.081,25.400,67.837,80.723,13.867,31.500,
12-Feb-25 15:30:00,18.700,11.295,26.400,20.600,12.482,24.900,20.600,12.460,25.400,62.618,79.075,13.948,32.300,
