Time,SM1_5cm Vol %,RDP1_5cm,ST1_5cm deg C,SM2_15cm Vol %,RDP2_15cm,ST2_15cm deg C,SM3_50cm Vol %,RDP3_50cm,ST3_50cm deg C,HFP01_W/m2,HFP02_W/m2,System Voltage,System Temp,Modem Signal
10-Mar-25 9:00:00,14.500,8.829,27.500,19.600,11.834,29.200,19.400,11.720,28.600,-5.218,-11.531,14.250,24.700,80.000
10-Mar-25 9:15:00,14.700,8.966,27.200,19.300,11.650,28.900,19.400,11.720,28.600,0.000,-4.942,14.317,26.500,
10-Mar-25 9:30:00,14.700,8.966,27.500,19.100,11.496,28.900,19.400,11.720,28.600,6.958,0.000,13.753,27.300,
10-Mar-25 9:45:00,14.500,8.829,27.200,19.100,11.494,29.200,19.400,11.720,28.600,13.915,6.590,14.082,28.300,
10-Mar-25 10:00:00,14.700,8.967,27.500,19.300,11.646,28.900,19.400,11.720,28.600,17.394,13.179,14.008,29.500,77.000
10-Mar-25 10:15:00,14.700,8.967,27.500,19.100,11.492,28.900,19.100,11.515,28.600,24.352,19.769,13.780,29.800,
10-Mar-25 10:30:00,14.800,8.985,27.500,18.700,11.303,28.600,19.400,11.720,28.600,29.570,26.358,13.760,30.800,
10-Mar-25 10:45:00,14.800,8.986,27.500,19.100,11.492,28.600,19.400,11.720,28.600,34.788,31.301,14.142,31.000,
10-Mar-25 11:00:00,14.600,8.873,27.800,19.200,11.616,28.600,19.400,11.720,28.600,34.788,32.948,13.793,31.500,77.000
10-Mar-25 11:15:00,14.600,8.892,27.800,19.000,11.433,28.600,19.400,11.690,28.600,34.788,34.595,13.786,33.000,80.000
10-Mar-25 11:30:00,14.600,8.894,28.000,18.700,11.246,28.600,19.400,11.720,28.600,41.746,41.185,13.786,33.500,80.000
10-Mar-25 11:45:00,14.900,9.052,28.000,19.200,11.614,28.600,19.400,11.690,28.600,50.443,47.775,13.780,33.300,83.000
10-Mar-25 12:00:00,14.900,9.037,28.300,18.000,10.867,28.300,19.400,11.720,28.600,57.400,54.364,13.800,33.000,80.000
10-Mar-25 12:15:00,14.900,9.081,28.600,18.000,10.867,28.600,19.100,11.515,28.600,62.618,59.306,14.021,33.000,83.000
10-Mar-25 12:30:00,14.700,8.960,29.200,18.900,11.405,28.600,19.400,11.720,28.600,67.837,64.249,13.800,32.500,80.000
10-Mar-25 12:45:00,15.000,9.104,29.200,17.600,10.618,28.300,18.900,11.423,28.600,71.315,69.191,13.800,32.500,83.000
10-Mar-25 13:00:00,15.100,9.141,29.500,17.500,10.563,28.300,19.400,11.720,28.600,74.794,72.486,13.800,32.000,80.000
10-Mar-25 13:15:00,15.100,9.188,29.800,18.300,11.003,28.600,19.400,11.720,28.600,76.534,74.133,13.807,31.300,
10-Mar-25 13:30:00,15.100,9.173,30.100,18.100,10.887,28.300,19.400,11.720,28.600,76.534,77.428,13.813,31.000,
10-Mar-25 13:45:00,15.400,9.352,30.400,18.800,11.308,28.900,19.100,11.515,28.600,78.273,79.075,13.820,30.500,
10-Mar-25 14:00:00,15.300,9.259,30.700,19.400,11.709,28.900,19.400,11.720,28.600,76.534,80.723,13.800,30.500,87.000
10-Mar-25 14:15:00,15.100,9.164,31.100,19.400,11.683,28.900,19.400,11.690,28.600,76.534,80.723,13.800,30.800,
10-Mar-25 14:30:00,15.400,9.327,31.400,19.400,11.713,29.200,19.400,11.720,28.600,74.794,82.370,13.773,31.000,
10-Mar-25 14:45:00,15.200,9.232,31.700,19.400,11.715,29.200,19.400,11.720,28.600,73.055,82.370,14.713,31.300,
10-Mar-25 15:00:00,15.700,9.493,32.100,19.200,11.563,29.200,19.400,11.690,28.600,71.315,80.723,13.773,31.800,77.000
10-Mar-25 15:15:00,15.500,9.400,32.400,19.200,11.593,29.500,19.400,11.720,28.600,67.837,80.723,13.807,32.300,
10-Mar-25 15:30:00,15.300,9.304,32.400,19.200,11.595,29.800,19.400,11.720,28.600,64.358,77.428,14.545,32.500,
10-Mar-25 15:45:00,15.300,9.305,33.100,19.600,11.814,29.800,19.400,11.720,28.600,60.879,74.133,13.760,33.000,
10-Mar-25 16:00:00,15.400,9.327,33.100,19.600,11.816,29.800,19.400,11.720,28.600,55.661,72.486,13.786,33.500,70.000
10-Mar-25 16:15:00,15.400,9.330,33.100,19.000,11.473,30.100,19.600,11.864,28.600,50.443,67.543,14.142,33.500,
10-Mar-25 16:30:00,15.200,9.231,33.400,19.400,11.695,30.100,19.400,11.720,28.600,43.485,64.249,13.746,33.500,
10-Mar-25 16:45:00,15.700,9.496,33.400,19.400,11.698,30.100,19.400,11.720,28.600,38.267,59.306,14.351,33.300,
10-Mar-25 17:00:00,15.700,9.497,33.800,19.400,11.728,30.400,19.400,11.720,28.600,33.049,54.364,14.263,32.800,83.000
10-Mar-25 17:15:00,15.900,9.639,33.800,19.200,11.572,30.400,19.400,11.720,28.600,27.830,49.422,13.807,32.500,
10-Mar-25 17:30:00,15.700,9.499,33.800,19.700,11.920,30.700,19.400,11.720,28.600,22.612,44.480,13.847,31.800,
10-Mar-25 17:45:00,15.700,9.499,33.800,19.700,11.924,30.700,19.400,11.720,28.600,19.133,37.890,13.840,31.300,
10-Mar-25 18:00:00,15.700,9.500,33.800,19.700,11.924,30.700,19.400,11.720,28.600,15.655,31.301,13.934,30.500,80.000
10-Mar-25 18:15:00,15.700,9.499,33.800,19.500,11.800,31.100,19.400,11.720,28.600,10.436,24.711,13.786,29.800,
10-Mar-25 18:30:00,15.700,9.499,33.800,19.500,11.802,31.100,19.400,11.720,28.600,6.958,19.769,13.464,28.000,
10-Mar-25 18:45:00,15.200,9.234,33.800,19.500,11.804,31.100,19.600,11.860,28.600,3.479,13.179,13.162,26.500,
10-Mar-25 19:00:00,15.400,9.335,33.800,19.600,11.806,31.100,19.400,11.718,28.600,1.739,9.884,12.947,25.500,74.000
10-Mar-25 19:15:00,15.700,9.476,33.800,19.600,11.806,31.400,19.400,11.718,28.600,-1.739,4.942,12.826,24.200,
10-Mar-25 19:30:00,15.700,9.476,33.400,19.300,11.678,31.400,19.400,11.718,28.600,-3.478,1.647,12.793,23.500,
