Time,SM1_5cm Vol %,RDP1_5cm,ST1_5cm deg C,SM2_15cm Vol %,RDP2_15cm,ST2_15cm deg C,SM3_50cm Vol %,RDP3_50cm,ST3_50cm deg C,HFP01_W/m2,HFP02_W/m2,System Voltage,System Temp,Modem Signal
14-Feb-25 9:00:00,17.400,10.466,22.800,20.400,12.346,24.700,20.200,12.229,25.600,-8.697,-14.826,13.780,24.200,83.000
14-Feb-25 9:15:00,17.400,10.466,22.800,20.600,12.508,24.400,20.200,12.229,25.600,-3.478,-9.884,13.773,26.500,
14-Feb-25 9:30:00,17.400,10.466,22.800,19.500,11.746,24.400,20.200,12.229,25.600,0.000,-4.942,13.833,28.300,
14-Feb-25 9:45:00,17.700,10.642,22.800,20.600,12.473,24.400,20.200,12.229,25.600,3.479,-3.294,13.867,29.000,
14-Feb-25 10:00:00,17.700,10.643,22.800,20.600,12.473,24.400,20.200,12.229,25.600,5.218,-1.647,13.813,29.800,87.000
14-Feb-25 10:15:00,17.200,10.360,22.800,20.600,12.473,24.400,20.200,12.229,25.600,10.436,3.295,13.820,30.500,
14-Feb-25 10:30:00,17.700,10.646,22.800,20.600,12.471,24.400,20.200,12.229,25.600,19.133,6.590,13.827,30.500,
14-Feb-25 10:45:00,17.700,10.647,23.000,20.600,12.471,24.200,20.200,12.229,25.600,26.091,13.179,13.833,30.500,
14-Feb-25 11:00:00,17.500,10.521,23.000,20.600,12.471,23.900,20.200,12.229,25.600,34.788,21.416,13.860,30.500,80.000
14-Feb-25 11:15:00,17.600,10.592,23.300,20.600,12.471,24.200,20.200,12.229,25.600,41.746,29.653,13.901,31.500,90.000
14-Feb-25 11:30:00,17.300,10.439,23.500,20.600,12.469,24.200,20.200,12.229,25.600,48.703,36.243,13.847,31.500,80.000
14-Feb-25 11:45:00,17.800,10.726,23.500,20.600,12.469,24.200,19.900,12.053,25.600,53.921,39.538,13.860,32.500,80.000
14-Feb-25 12:00:00,17.800,10.730,23.700,20.600,12.469,24.200,20.200,12.229,25.600,59.140,42.832,13.867,32.500,87.000
14-Feb-25 12:15:00,17.600,10.627,23.900,21.500,13.034,24.200,20.200,12.229,25.600,60.879,46.127,13.988,32.500,80.000
14-Feb-25 12:30:00,17.600,10.630,23.900,20.600,12.471,24.200,20.200,12.229,25.600,62.618,47.775,13.874,32.000,80.000
14-Feb-25 12:45:00,17.900,10.788,24.200,20.600,12.471,24.200,20.200,12.229,25.600,62.618,47.775,13.854,31.500,80.000
14-Feb-25 13:00:00,17.900,10.815,24.400,20.600,12.473,24.400,20.200,12.229,25.600,60.879,47.775,14.149,31.300,80.000
14-Feb-25 13:15:00,17.800,10.711,24.700,20.400,12.343,24.400,20.200,12.229,25.600,60.879,47.775,13.847,30.300,
14-Feb-25 13:30:00,17.600,10.608,24.900,19.400,11.728,24.200,19.900,12.020,25.600,59.140,51.069,13.854,30.300,
14-Feb-25 13:45:00,17.900,10.770,25.100,20.900,12.699,24.400,20.200,12.229,25.600,60.879,56.012,13.854,30.500,
14-Feb-25 14:00:00,17.900,10.797,25.400,20.400,12.346,24.400,20.200,12.229,25.600,59.140,59.306,13.860,30.500,80.000
14-Feb-25 14:15:00,17.900,10.800,25.600,20.900,12.701,24.700,20.200,12.229,25.600,59.140,62.601,13.860,30.800,
14-Feb-25 14:30:00,17.700,10.693,25.600,20.800,12.576,24.700,20.200,12.229,25.600,55.661,65.896,13.854,30.800,
14-Feb-25 14:45:00,18.200,10.986,25.900,20.800,12.578,24.700,20.200,12.229,25.600,53.921,67.543,13.860,31.300,
14-Feb-25 15:00:00,18.100,10.882,26.200,20.800,12.578,25.100,20.200,12.229,25.600,50.443,69.191,13.867,31.500,74.000
14-Feb-25 15:15:00,18.100,10.887,26.400,20.500,12.420,24.900,20.200,12.229,25.600,46.964,67.543,13.867,31.500,
14-Feb-25 15:30:00,17.900,10.780,26.400,20.800,12.584,24.900,20.200,12.229,25.600,41.746,65.896,13.854,32.000,
14-Feb-25 15:45:00,18.400,11.075,26.700,20.800,12.586,25.100,20.200,12.229,25.600,38.267,64.249,14.196,32.500,
14-Feb-25 16:00:00,18.400,11.078,26.900,20.600,12.457,25.100,20.200,12.229,25.600,31.309,60.954,13.860,32.500,74.000
14-Feb-25 16:15:00,18.200,10.973,27.200,20.600,12.459,25.400,20.200,12.227,25.600,26.091,56.012,13.854,33.300,
14-Feb-25 16:30:00,18.000,10.867,27.200,20.600,12.461,25.400,20.200,12.227,25.600,22.612,52.717,13.854,33.500,
14-Feb-25 16:45:00,18.000,10.868,27.500,20.900,12.691,25.400,20.200,12.229,25.600,19.133,49.422,14.210,33.800,
14-Feb-25 17:00:00,18.000,10.870,27.500,20.900,12.693,25.600,20.200,12.227,25.600,13.915,44.480,13.968,33.500,74.000
14-Feb-25 17:15:00,18.500,11.164,27.500,20.900,12.695,25.600,20.200,12.227,25.600,10.436,39.538,13.820,33.500,
14-Feb-25 17:30:00,18.500,11.166,27.800,20.900,12.697,25.600,20.200,12.227,25.600,6.958,34.595,13.800,32.800,
14-Feb-25 17:45:00,18.500,11.166,27.800,20.900,12.699,25.900,20.200,12.227,25.600,5.218,28.006,13.800,32.000,
14-Feb-25 18:00:00,18.500,11.166,27.800,20.700,12.570,25.900,20.200,12.227,25.600,1.739,21.416,13.793,31.000,80.000
14-Feb-25 18:15:00,18.500,11.167,27.800,20.700,12.572,25.900,20.200,12.227,25.600,-1.739,14.827,13.820,29.800,
14-Feb-25 18:30:00,18.500,11.166,27.800,20.800,12.574,25.900,20.200,12.227,25.600,-3.478,8.237,13.457,28.000,
14-Feb-25 18:45:00,18.000,10.873,27.800,20.800,12.574,26.200,20.200,12.227,25.600,-6.957,3.295,13.169,26.200,
14-Feb-25 19:00:00,18.000,10.871,27.800,20.800,12.576,26.200,20.200,12.227,25.600,-8.697,-1.647,12.974,24.700,74.000
14-Feb-25 19:15:00,18.000,10.871,27.500,20.500,12.443,26.200,20.200,12.227,25.600,-12.175,-6.589,12.866,23.500,
14-Feb-25 19:30:00,18.200,10.979,27.500,20.500,12.443,26.200,20.200,12.227,25.600,-12.175,-8.237,12.833,22.700,
14-Feb-25 19:45:00,18.200,10.978,27.500,21.100,12.810,26.400,20.200,12.227,25.600,-13.915,-9.884,12.833,21.700,
14-Feb-25 20:00:00,18.200,10.976,27.500,20.600,12.445,26.400,20.200,12.227,25.600,-13.915,-11.531,12.833,21.000,70.000
14-Feb-25 20:15:00,17.900,10.790,27.200,20.600,12.445,26.400,20.200,12.227,25.600,-13.915,-13.179,12.826,20.500,
14-Feb-25 20:30:00,17.900,10.789,27.200,21.100,12.810,26.400,20.200,12.227,25.600,-13.915,-13.179,12.826,20.000,
14-Feb-25 20:45:00,17.900,10.787,27.200,21.100,12.812,26.400,20.200,12.227,25.600,-13.915,-14.826,12.819,19.700,
14-Feb-25 21:00:00,17.900,10.787,26.900,20.600,12.447,26.400,20.200,12.227,25.600,-15.654,-14.826,12.819,19.200,70.000
14-Feb-25 21:15:00,18.100,10.895,26.900,20.600,12.447,26.400,20.200,12.227,25.600,-15.654,-16.474,12.813,19.000,
14-Feb-25 21:30:00,18.100,10.894,26.900,20.600,12.447,26.400,20.200,12.227,25.600,-15.654,-16.474,12.813,18.700,
14-Feb-25 21:45:00,18.100,10.892,26.700,20.600,12.447,26.400,20.200,12.227,25.600,-15.654,-16.474,12.799,18.200,
14-Feb-25 22:00:00,18.200,10.999,26.700,20.600,12.447,26.400,20.200,12.227,25.600,-15.654,-16.474,12.799,18.000,70.000
14-Feb-25 22:15:00,18.200,10.998,26.700,20.600,12.447,26.400,20.200,12.227,25.600,-15.654,-18.121,12.793,18.200,
14-Feb-25 22:30:00,17.800,10.706,26.700,20.600,12.447,26.400,19.600,11.842,25.600,-15.654,-18.121,12.793,18.000,
14-Feb-25 22:45:00,17.800,10.705,26.700,20.600,12.445,26.400,20.200,12.227,25.600,-15.654,-18.121,12.786,18.000,
14-Feb-25 23:00:00,17.900,10.814,26.400,20.600,12.447,26.400,20.200,12.227,25.600,-15.654,-18.121,12.779,17.700,70.000
14-Feb-25 23:15:00,17.900,10.812,26.400,20.800,12.580,26.400,20.200,12.227,25.600,-15.654,-18.121,12.772,17.500,
14-Feb-25 23:30:00,17.900,10.811,26.400,20.800,12.580,26.400,19.600,11.842,25.600,-17.394,-18.121,12.766,17.500,
14-Feb-25 23:45:00,17.900,10.809,26.400,20.800,12.580,26.400,20.200,12.227,25.600,-17.394,-18.121,12.766,16.700,
15-Feb-25 0:00:00,17.900,10.809,26.200,20.800,12.580,26.400,19.600,11.842,25.600,-17.394,-18.121,12.759,16.700,74.000
