Time,SM1_5cm Vol %,RDP1_5cm,ST1_5cm deg C,SM2_15cm Vol %,RDP2_15cm,ST2_15cm deg C,SM3_50cm Vol %,RDP3_50cm,ST3_50cm deg C,HFP01_W/m2,HFP02_W/m2,System Voltage,System Temp,Modem Signal
8-Mar-25 9:00:00,14.900,9.072,28.300,19.000,11.486,29.200,19.400,11.712,28.300,0.000,-4.942,13.746,25.200,77.000
8-Mar-25 9:15:00,14.900,9.071,28.300,19.000,11.484,29.200,19.900,12.053,28.300,3.479,0.000,14.230,27.000,
8-Mar-25 9:30:00,14.900,9.071,28.300,19.000,11.484,29.200,19.400,11.712,28.300,8.697,3.295,14.216,28.000,
8-Mar-25 9:45:00,14.900,9.071,28.300,19.300,11.645,28.900,19.600,11.854,28.300,12.176,8.237,13.780,28.300,
8-Mar-25 10:00:00,14.900,9.072,28.300,19.500,11.798,28.900,19.400,11.712,28.300,17.394,11.532,13.773,29.300,77.000
8-Mar-25 10:15:00,14.900,9.072,28.300,19.500,11.798,28.900,19.600,11.854,28.300,22.612,16.474,13.948,30.500,
8-Mar-25 10:30:00,14.900,9.073,28.300,19.200,11.612,28.900,19.400,11.712,28.300,27.830,21.416,13.820,31.500,
8-Mar-25 10:45:00,15.400,9.327,28.300,19.200,11.610,28.900,19.600,11.854,28.300,29.570,26.358,13.780,32.000,
8-Mar-25 11:00:00,14.900,9.074,28.600,19.200,11.610,28.900,19.400,11.712,28.300,31.309,28.006,13.820,32.000,77.000
8-Mar-25 11:15:00,15.200,9.233,28.600,19.200,11.610,28.900,19.400,11.712,28.300,33.049,31.301,13.800,33.500,80.000
8-Mar-25 11:30:00,15.000,9.095,28.900,18.900,11.394,28.900,19.600,11.854,28.300,40.006,37.890,13.813,34.500,80.000
8-Mar-25 11:45:00,15.200,9.237,28.900,18.800,11.317,28.600,19.600,11.854,28.300,46.964,44.480,13.793,34.800,83.000
8-Mar-25 12:00:00,15.200,9.238,28.900,18.900,11.394,28.900,19.400,11.712,28.300,53.921,51.069,13.800,35.000,83.000
8-Mar-25 12:15:00,15.300,9.258,29.200,19.200,11.610,28.900,19.400,11.712,28.300,59.140,56.012,13.780,35.300,80.000
