Time,SM1_5cm Vol %,RDP1_5cm,ST1_5cm deg C,SM2_15cm Vol %,RDP2_15cm,ST2_15cm deg C,SM3_50cm Vol %,RDP3_50cm,ST3_50cm deg C,HFP01_W/m2,HFP02_W/m2,System Voltage,System Temp,Modem Signal
21-Feb-25 9:00:00,17.300,10.434,24.700,20.100,12.163,26.200,20.000,12.121,26.400,-6.957,-13.179,13.786,23.700,83.000
21-Feb-25 9:15:00,16.800,10.120,24.700,20.100,12.161,26.200,20.000,12.121,26.400,0.000,-8.237,13.760,25.500,
21-Feb-25 9:30:00,16.800,10.120,24.700,20.400,12.351,26.200,19.200,11.585,26.400,5.218,-1.647,13.880,27.000,
21-Feb-25 9:45:00,16.800,10.120,24.700,20.100,12.159,26.200,20.000,12.121,26.400,8.697,3.295,13.813,27.800,
21-Feb-25 10:00:00,16.800,10.120,24.700,20.100,12.159,26.200,20.000,12.121,26.400,8.697,6.590,14.068,29.000,80.000
21-Feb-25 10:15:00,16.800,10.121,24.900,20.100,12.157,25.900,20.000,12.121,26.400,10.436,8.237,13.820,29.800,
21-Feb-25 10:30:00,16.600,9.998,24.900,20.100,12.155,25.900,20.000,12.090,26.400,12.176,9.884,13.813,29.800,
21-Feb-25 10:45:00,16.900,10.171,24.900,20.100,12.155,25.900,20.000,12.121,26.400,13.915,14.827,13.820,30.800,
21-Feb-25 11:00:00,16.600,10.022,24.900,20.300,12.284,25.900,20.000,12.121,26.400,20.873,23.064,13.827,31.500,80.000
21-Feb-25 11:15:00,16.400,9.918,25.100,20.300,12.284,25.900,20.000,12.121,26.400,31.309,31.301,14.075,33.000,77.000
21-Feb-25 11:30:00,16.700,10.051,25.100,19.300,11.646,24.900,20.000,12.121,26.400,41.746,37.890,14.377,33.000,80.000
21-Feb-25 11:45:00,16.900,10.198,25.400,18.600,11.240,25.600,20.000,12.121,26.400,48.703,44.480,13.854,32.800,80.000
21-Feb-25 12:00:00,16.700,10.098,25.600,19.300,11.675,24.900,20.000,12.121,26.400,55.661,51.069,13.874,33.300,80.000
21-Feb-25 12:15:00,17.000,10.229,25.600,20.300,12.284,25.900,20.000,12.121,26.400,62.618,56.012,13.847,33.000,83.000
21-Feb-25 12:30:00,17.000,10.274,25.900,18.700,11.270,25.900,19.700,11.916,26.400,67.837,62.601,13.847,32.800,83.000
