Time,SM1_5cm Vol %,RDP1_5cm,ST1_5cm deg C,SM2_15cm Vol %,RDP2_15cm,ST2_15cm deg C,SM3_50cm Vol %,RDP3_50cm,ST3_50cm deg C,HFP01_W/m2,HFP02_W/m2,System Voltage,System Temp,Modem Signal
22-Feb-25 9:00:00,16.500,9.936,25.100,20.100,12.168,26.700,19.700,11.889,26.400,-6.957,-11.531,13.760,23.000,87.000
22-Feb-25 9:15:00,16.900,10.206,25.100,20.100,12.136,26.400,19.700,11.889,26.700,0.000,-6.589,14.196,25.200,
22-Feb-25 9:30:00,16.900,10.206,25.100,20.300,12.295,26.400,20.300,12.264,26.700,5.218,-1.647,14.384,27.300,
22-Feb-25 9:45:00,16.500,9.936,25.100,20.300,12.294,26.400,19.700,11.889,26.700,8.697,3.295,13.860,28.800,
22-Feb-25 10:00:00,16.800,10.106,25.100,20.300,12.294,26.400,20.300,12.264,26.700,10.436,6.590,13.927,29.800,80.000
22-Feb-25 10:15:00,16.800,10.106,25.100,20.300,12.292,26.400,20.300,12.264,26.700,12.176,9.884,13.813,30.500,
22-Feb-25 10:30:00,16.500,9.938,25.100,20.300,12.292,26.200,19.700,11.889,26.700,13.915,11.532,13.847,31.000,
22-Feb-25 10:45:00,16.800,10.108,25.400,20.300,12.292,26.200,20.300,12.264,26.700,15.655,16.474,13.854,31.500,
22-Feb-25 11:00:00,16.800,10.109,25.400,20.300,12.290,26.200,19.700,11.889,26.700,22.612,24.711,13.860,32.000,83.000
22-Feb-25 11:15:00,16.800,10.132,25.600,20.300,12.259,26.200,20.300,12.264,26.700,31.309,31.301,14.404,33.500,83.000
22-Feb-25 11:30:00,17.000,10.281,25.600,19.100,11.508,26.200,20.000,12.094,26.700,40.006,37.890,13.820,33.300,80.000
22-Feb-25 11:45:00,16.600,9.991,25.600,20.300,12.290,26.200,20.000,12.094,26.700,48.703,44.480,13.820,33.300,80.000
22-Feb-25 12:00:00,16.900,10.185,25.900,19.300,11.624,25.600,19.700,11.889,26.700,55.661,51.069,14.310,33.300,80.000
22-Feb-25 12:15:00,16.500,9.932,26.200,19.600,11.844,26.200,20.000,12.063,26.700,60.879,56.012,14.115,33.500,80.000
22-Feb-25 12:30:00,16.900,10.211,26.400,19.000,11.479,26.200,20.300,12.264,26.700,66.097,60.954,13.827,33.300,80.000
22-Feb-25 12:45:00,16.800,10.111,26.700,19.400,11.740,26.200,18.700,11.255,26.700,69.576,64.249,13.820,33.300,83.000
22-Feb-25 13:00:00,16.800,10.115,26.700,20.300,12.292,26.400,20.000,12.094,26.700,73.055,67.543,14.055,33.000,80.000
22-Feb-25 13:15:00,16.900,10.165,26.900,20.300,12.294,26.400,20.300,12.264,26.700,74.794,70.838,13.854,32.300,
22-Feb-25 13:30:00,16.900,10.190,27.200,19.100,11.512,26.400,19.400,11.682,26.700,76.534,72.486,13.887,32.000,
22-Feb-25 13:45:00,16.600,10.045,27.500,18.700,11.280,26.400,19.700,11.889,26.700,76.534,74.133,13.840,32.000,
22-Feb-25 14:00:00,17.000,10.246,27.800,19.200,11.576,26.400,19.700,11.889,26.700,76.534,75.780,13.827,32.300,77.000
22-Feb-25 14:15:00,17.000,10.273,28.300,20.400,12.361,26.700,19.700,11.889,26.700,74.794,77.428,13.820,32.300,
22-Feb-25 14:30:00,16.900,10.167,28.300,19.800,11.945,26.700,19.700,11.889,26.700,74.794,77.428,13.813,32.000,
22-Feb-25 14:45:00,17.300,10.452,28.600,20.100,12.172,26.700,19.700,11.889,26.700,71.315,75.780,13.833,32.500,
22-Feb-25 15:00:00,17.200,10.351,28.900,20.200,12.206,26.900,19.700,11.889,26.700,66.097,74.133,13.786,32.300,80.000
22-Feb-25 15:15:00,17.200,10.355,29.200,19.600,11.814,26.900,19.700,11.889,26.700,60.879,70.838,13.786,32.300,
22-Feb-25 15:30:00,17.000,10.251,29.200,20.200,12.212,26.900,19.400,11.712,26.700,57.400,65.896,13.860,32.500,
22-Feb-25 15:45:00,17.000,10.254,29.500,20.300,12.276,27.200,20.300,12.264,26.700,53.921,64.249,13.773,32.800,
22-Feb-25 16:00:00,17.300,10.433,29.800,20.600,12.472,27.200,19.700,11.889,26.400,48.703,60.954,13.820,33.000,80.000
22-Feb-25 16:15:00,17.300,10.436,29.800,20.300,12.280,27.500,19.700,11.889,26.700,43.485,57.659,13.820,33.500,
22-Feb-25 16:30:00,17.300,10.437,30.100,20.300,12.282,27.500,19.700,11.889,26.700,40.006,56.012,13.793,33.800,
22-Feb-25 16:45:00,17.100,10.332,30.100,20.100,12.151,27.500,19.700,11.889,26.700,34.788,52.717,14.062,33.500,
22-Feb-25 17:00:00,17.100,10.333,30.100,20.100,12.153,27.800,20.000,12.063,26.700,31.309,49.422,14.129,33.500,83.000
22-Feb-25 17:15:00,17.100,10.335,30.100,20.700,12.514,27.800,19.700,11.889,26.700,27.830,44.480,13.786,33.300,
22-Feb-25 17:30:00,17.100,10.335,30.400,20.500,12.386,28.000,19.700,11.889,26.700,22.612,39.538,13.800,32.500,
22-Feb-25 17:45:00,17.100,10.336,30.400,20.800,12.583,28.000,19.700,11.889,26.700,19.133,34.595,13.874,31.500,
22-Feb-25 18:00:00,17.100,10.336,30.400,20.500,12.390,28.000,19.700,11.889,26.700,15.655,29.653,13.914,31.000,80.000
22-Feb-25 18:15:00,17.100,10.336,30.400,20.500,12.392,28.000,19.700,11.889,26.700,13.915,23.064,13.659,30.000,
22-Feb-25 18:30:00,17.100,10.335,30.400,20.500,12.394,28.000,19.700,11.889,26.700,10.436,18.121,13.350,28.800,
22-Feb-25 18:45:00,17.300,10.442,30.100,20.500,12.394,28.300,19.700,11.889,26.700,8.697,14.827,13.088,27.500,
22-Feb-25 19:00:00,17.300,10.440,30.100,20.800,12.592,28.300,19.700,11.889,26.700,5.218,11.532,12.920,26.700,83.000
22-Feb-25 19:15:00,17.300,10.439,30.100,20.300,12.263,28.300,19.700,11.889,26.700,3.479,8.237,12.846,26.000,
