Time,SM1_5cm Vol %,RDP1_5cm,ST1_5cm deg C,SM2_15cm Vol %,RDP2_15cm,ST2_15cm deg C,SM3_50cm Vol %,RDP3_50cm,ST3_50cm deg C,HFP01_W/m2,HFP02_W/m2,System Voltage,System Temp,Modem Signal
1-Mar-25 9:00:00,15.700,9.526,27.800,19.800,11.991,28.300,19.900,12.022,27.800,1.739,-3.294,13.746,24.500,77.000
1-Mar-25 9:15:00,15.700,9.526,27.800,19.800,11.989,28.300,19.900,12.022,27.800,5.218,0.000,13.766,25.000,
1-Mar-25 9:30:00,15.700,9.526,27.800,19.800,11.989,28.600,19.900,12.022,27.800,6.958,3.295,14.330,24.700,
1-Mar-25 9:45:00,15.500,9.380,27.800,19.800,11.959,28.300,19.300,11.642,27.800,10.436,6.590,13.793,25.500,
1-Mar-25 10:00:00,15.500,9.380,27.800,20.000,12.117,28.300,19.900,12.022,27.800,13.915,9.884,13.894,26.500,80.000
1-Mar-25 10:15:00,15.700,9.527,27.800,20.000,12.115,28.300,19.900,12.022,27.800,17.394,14.827,14.404,27.300,
1-Mar-25 10:30:00,15.500,9.381,27.800,19.800,11.957,28.300,19.900,12.022,27.800,20.873,18.121,13.894,27.500,
1-Mar-25 10:45:00,15.700,9.529,28.000,20.000,12.115,28.300,19.900,12.022,27.800,22.612,21.416,13.927,27.800,
1-Mar-25 11:00:00,16.000,9.649,28.000,19.800,11.957,28.300,19.900,12.022,27.800,24.352,23.064,14.115,28.000,70.000
1-Mar-25 11:15:00,15.800,9.550,28.000,19.500,11.765,28.300,19.900,12.022,27.800,26.091,26.358,14.062,28.500,80.000
1-Mar-25 11:30:00,16.000,9.695,28.000,19.500,11.765,28.300,19.600,11.819,27.800,27.830,28.006,13.807,29.300,80.000
1-Mar-25 11:45:00,15.800,9.552,28.300,18.900,11.371,27.800,19.900,12.024,27.800,34.788,32.948,13.840,30.500,83.000
1-Mar-25 12:00:00,15.800,9.554,28.600,20.000,12.115,28.300,19.900,12.022,27.800,43.485,39.538,13.827,31.300,80.000
1-Mar-25 12:15:00,15.900,9.600,28.600,19.500,11.765,28.300,19.900,12.022,27.800,45.224,42.832,13.840,30.500,80.000
1-Mar-25 12:30:00,15.600,9.454,28.600,20.000,12.115,28.300,19.600,11.819,27.800,41.746,42.832,13.840,30.300,87.000
1-Mar-25 12:45:00,15.900,9.623,28.900,19.500,11.765,28.300,19.200,11.614,27.800,40.006,42.832,13.833,30.300,87.000
1-Mar-25 13:00:00,15.900,9.626,28.900,20.000,12.117,28.300,19.900,12.024,27.800,40.006,41.185,13.894,30.300,80.000
1-Mar-25 13:15:00,15.900,9.627,29.200,19.500,11.767,28.300,19.500,11.789,27.800,43.485,44.480,13.813,29.300,
1-Mar-25 13:30:00,16.200,9.793,29.200,18.500,11.170,28.300,19.500,11.789,27.800,46.964,47.775,14.183,29.500,
1-Mar-25 13:45:00,16.000,9.694,29.500,19.800,11.991,28.300,19.900,12.022,27.800,52.182,52.717,13.827,30.000,
1-Mar-25 14:00:00,16.000,9.677,29.500,19.800,11.991,28.600,19.900,12.024,27.800,52.182,56.012,13.833,30.000,83.000
1-Mar-25 14:15:00,16.000,9.699,29.800,19.800,11.993,28.600,19.900,12.024,27.800,50.443,56.012,13.840,30.000,
1-Mar-25 14:30:00,15.900,9.598,30.100,19.800,11.993,28.600,19.900,12.022,27.800,50.443,54.364,13.833,30.300,
1-Mar-25 14:45:00,15.900,9.601,30.100,20.100,12.186,28.600,19.900,12.022,27.800,46.964,52.717,13.840,30.000,
1-Mar-25 15:00:00,16.300,9.873,30.400,19.600,11.866,28.600,19.900,12.022,27.800,43.485,51.069,13.833,30.000,74.000
1-Mar-25 15:15:00,16.100,9.754,30.100,20.200,12.218,28.900,19.900,12.022,27.800,41.746,49.422,13.813,30.500,
1-Mar-25 15:30:00,16.200,9.774,30.400,19.900,12.031,28.900,19.600,11.819,27.800,41.746,49.422,13.800,31.300,
1-Mar-25 15:45:00,16.200,9.777,30.700,20.200,12.222,28.900,20.100,12.161,27.800,41.746,49.422,13.807,31.300,
1-Mar-25 16:00:00,16.000,9.673,30.700,20.200,12.222,28.900,19.500,11.789,27.800,38.267,49.422,13.981,31.800,77.000
1-Mar-25 16:15:00,16.000,9.676,31.100,20.500,12.413,29.200,19.600,11.819,27.800,36.527,47.775,13.833,32.300,
1-Mar-25 16:30:00,16.000,9.678,31.100,20.300,12.290,29.200,19.500,11.789,27.800,33.049,47.775,13.914,32.500,
1-Mar-25 16:45:00,16.000,9.679,31.400,20.000,12.100,29.200,19.600,11.819,27.800,31.309,46.127,13.827,32.500,
1-Mar-25 17:00:00,16.500,9.952,31.400,20.000,12.100,29.200,19.600,11.819,27.800,27.830,44.480,13.813,32.300,70.000
1-Mar-25 17:15:00,16.300,9.850,31.400,20.000,12.102,29.500,19.600,11.819,27.800,24.352,42.832,13.793,32.500,
1-Mar-25 17:30:00,16.300,9.851,31.400,20.000,12.104,29.500,19.600,11.819,27.800,20.873,39.538,14.129,31.800,
1-Mar-25 17:45:00,16.300,9.851,31.400,19.800,11.972,29.500,19.900,12.022,27.800,17.394,34.595,13.807,31.300,
1-Mar-25 18:00:00,16.300,9.853,31.700,20.100,12.169,29.500,20.100,12.161,27.800,13.915,29.653,13.927,30.300,77.000
1-Mar-25 18:15:00,16.300,9.853,31.700,19.800,11.976,29.500,20.100,12.161,27.800,12.176,23.064,13.699,29.300,
1-Mar-25 18:30:00,16.300,9.853,31.700,20.100,12.171,29.800,20.100,12.161,27.800,8.697,18.121,13.377,28.000,
1-Mar-25 18:45:00,16.500,9.953,31.400,20.100,12.174,29.800,19.500,11.789,27.800,5.218,13.179,13.101,26.700,
1-Mar-25 19:00:00,16.000,9.682,31.400,20.100,12.174,29.800,20.100,12.161,27.800,3.479,9.884,12.927,25.700,77.000
1-Mar-25 19:15:00,16.500,9.953,31.400,20.400,12.334,29.800,19.900,12.022,27.800,0.000,6.590,12.833,24.700,
1-Mar-25 19:30:00,16.000,9.680,31.400,20.400,12.336,29.800,20.100,12.161,27.800,-1.739,3.295,12.813,24.000,
1-Mar-25 19:45:00,16.000,9.679,31.400,20.400,12.336,29.800,20.100,12.161,27.800,-3.478,0.000,12.806,23.200,
1-Mar-25 20:00:00,16.200,9.782,31.400,20.100,12.178,29.800,19.800,11.961,27.800,-3.478,-1.647,12.806,22.700,87.000
1-Mar-25 20:15:00,16.200,9.782,31.100,20.700,12.528,30.100,20.100,12.161,27.800,-5.218,-3.294,12.806,22.700,
1-Mar-25 20:30:00,16.200,9.780,31.100,20.400,12.338,29.800,20.100,12.161,27.800,-5.218,-4.942,12.806,22.500,
1-Mar-25 20:45:00,16.400,9.880,31.100,20.700,12.528,30.100,20.100,12.161,27.800,-5.218,-4.942,12.806,22.500,
1-Mar-25 21:00:00,15.900,9.609,30.700,20.400,12.338,30.100,19.900,12.024,27.800,-5.218,-4.942,12.799,22.200,77.000
1-Mar-25 21:15:00,15.900,9.608,30.700,20.400,12.338,30.100,19.800,11.961,27.800,-5.218,-6.589,12.799,22.500,
1-Mar-25 21:30:00,15.900,9.606,30.700,20.700,12.528,30.100,19.500,11.789,27.800,-5.218,-6.589,12.793,22.500,
1-Mar-25 21:45:00,16.300,9.855,30.400,20.100,12.178,29.800,20.100,12.161,27.800,-5.218,-6.589,12.786,22.000,
1-Mar-25 22:00:00,16.100,9.709,30.400,20.100,12.178,29.800,19.800,11.961,27.800,-6.957,-6.589,12.779,22.000,83.000
1-Mar-25 22:15:00,16.100,9.707,30.400,19.800,11.983,29.800,19.500,11.789,27.800,-6.957,-6.589,12.772,22.200,
1-Mar-25 22:30:00,16.100,9.706,30.400,20.100,12.176,29.800,19.800,11.963,27.800,-6.957,-8.237,12.779,22.000,
1-Mar-25 22:45:00,16.000,9.685,30.400,20.100,12.176,29.800,20.100,12.163,27.800,-8.697,-8.237,12.772,21.500,
1-Mar-25 23:00:00,16.000,9.685,30.100,20.100,12.176,29.800,19.800,11.963,27.800,-8.697,-9.884,12.766,21.500,77.000
1-Mar-25 23:15:00,15.800,9.536,30.100,20.100,12.176,29.800,19.500,11.791,27.800,-8.697,-9.884,12.759,21.200,
1-Mar-25 23:30:00,15.800,9.534,30.100,20.100,12.176,29.800,19.500,11.791,27.800,-10.436,-9.884,12.759,21.000,
1-Mar-25 23:45:00,16.200,9.784,30.100,20.100,12.174,29.800,20.100,12.163,27.800,-10.436,-11.531,12.752,20.500,
2-Mar-25 0:00:00,16.200,9.782,29.800,19.800,11.978,29.800,20.100,12.163,27.800,-10.436,-11.531,12.752,20.200,67.000
2-Mar-25 0:15:00,16.200,9.781,29.800,20.300,12.303,29.800,19.500,11.791,27.800,-10.436,-11.531,12.739,20.000,
2-Mar-25 0:30:00,16.200,9.779,29.800,20.300,12.300,29.800,19.900,12.024,27.800,-10.436,-11.531,12.739,19.500,
2-Mar-25 0:45:00,15.900,9.613,29.800,20.300,12.300,29.800,20.100,12.163,27.800,-12.175,-13.179,12.732,19.500,
2-Mar-25 1:00:00,15.900,9.613,29.500,20.300,12.300,29.800,20.100,12.163,27.800,-12.175,-13.179,12.732,19.200,77.000
2-Mar-25 1:15:00,15.600,9.465,29.500,20.300,12.298,29.800,20.100,12.163,27.800,-12.175,-13.179,12.725,19.000,
2-Mar-25 1:30:00,15.900,9.611,29.500,20.300,12.298,29.500,19.500,11.791,27.800,-12.175,-13.179,12.719,18.500,
2-Mar-25 1:45:00,16.100,9.710,29.500,20.300,12.298,29.500,20.100,12.163,27.800,-12.175,-14.826,12.719,18.200,
2-Mar-25 2:00:00,16.100,9.710,29.200,20.300,12.298,29.500,20.100,12.163,27.800,-13.915,-14.826,12.712,18.200,77.000
2-Mar-25 2:15:00,16.100,9.709,29.200,20.500,12.421,29.500,20.100,12.163,27.800,-13.915,-14.826,12.705,18.200,
2-Mar-25 2:30:00,16.100,9.708,29.200,20.500,12.421,29.500,20.100,12.163,27.800,-13.915,-14.826,12.699,18.000,
2-Mar-25 2:45:00,16.100,9.706,29.200,20.500,12.421,29.500,20.100,12.163,27.800,-13.915,-14.826,12.699,17.700,
2-Mar-25 3:00:00,15.800,9.542,28.900,20.500,12.419,29.500,20.100,12.163,27.800,-13.915,-16.474,12.692,17.500,77.000
2-Mar-25 3:15:00,15.800,9.541,28.900,20.500,12.419,29.500,20.100,12.163,27.800,-15.654,-16.474,12.685,17.200,
2-Mar-25 3:30:00,15.800,9.540,28.900,20.000,12.072,29.200,20.100,12.163,27.800,-15.654,-16.474,12.685,17.000,
2-Mar-25 3:45:00,15.800,9.540,28.900,20.000,12.070,29.200,20.100,12.163,27.800,-15.654,-18.121,12.678,16.500,
2-Mar-25 4:00:00,15.800,9.539,28.600,19.700,11.876,29.200,20.100,12.163,27.800,-15.654,-18.121,12.672,16.700,70.000
2-Mar-25 4:15:00,15.900,9.638,28.600,20.200,12.196,29.200,19.800,11.963,27.800,-15.654,-18.121,12.665,16.500,
2-Mar-25 4:30:00,15.900,9.638,28.600,20.200,12.196,29.200,20.100,12.163,27.800,-15.654,-18.121,12.665,16.700,
2-Mar-25 4:45:00,15.900,9.637,28.600,19.900,12.005,29.200,20.100,12.163,27.800,-15.654,-18.121,12.665,16.500,
