Time,SM1_5cm Vol %,RDP1_5cm,ST1_5cm deg C,SM2_15cm Vol %,RDP2_15cm,ST2_15cm deg C,SM3_50cm Vol %,RDP3_50cm,ST3_50cm deg C,HFP01_W/m2,HFP02_W/m2,System Voltage,System Temp,Modem Signal
9-Feb-25 9:00:00,19.100,11.547,22.800,20.700,12.565,24.200,20.400,12.346,25.400,-12.175,-14.826,13.746,22.200,87.000
9-Feb-25 9:15:00,19.000,11.434,22.800,20.700,12.565,24.200,20.400,12.346,25.100,-8.697,-13.179,13.746,23.700,
9-Feb-25 9:30:00,19.000,11.436,22.800,20.900,12.694,24.200,19.800,11.956,25.100,-5.218,-9.884,13.753,24.700,
9-Feb-25 9:45:00,19.100,11.548,22.800,20.900,12.694,24.200,19.800,11.956,25.100,-3.478,-8.237,13.766,25.700,
9-Feb-25 10:00:00,19.000,11.436,22.800,20.900,12.692,23.900,20.100,12.167,25.100,1.739,-3.294,13.766,26.200,70.000
9-Feb-25 10:15:00,19.000,11.436,22.800,20.900,12.692,23.900,19.800,11.958,24.700,6.958,1.647,13.773,27.000,
9-Feb-25 10:30:00,19.000,11.437,23.000,20.900,12.692,23.900,19.800,11.958,24.900,13.915,9.884,13.786,27.500,
9-Feb-25 10:45:00,19.000,11.438,23.000,20.700,12.529,23.900,19.800,11.956,25.100,20.873,16.474,13.786,27.800,
9-Feb-25 11:00:00,19.000,11.440,23.000,21.200,12.851,23.900,20.400,12.346,25.100,27.830,23.064,13.766,28.000,83.000
9-Feb-25 11:15:00,19.200,11.609,23.300,19.500,11.762,23.700,20.400,12.346,25.100,33.049,29.653,14.337,29.000,87.000
9-Feb-25 11:30:00,19.500,11.746,23.300,20.700,12.527,23.900,19.800,11.958,25.100,40.006,34.595,13.854,29.800,80.000
9-Feb-25 11:45:00,19.500,11.749,23.500,20.900,12.690,23.900,20.400,12.346,25.100,45.224,41.185,13.874,30.000,77.000
9-Feb-25 12:00:00,19.300,11.642,23.500,20.900,12.690,23.900,20.400,12.346,25.100,50.443,46.127,13.860,30.000,83.000
9-Feb-25 12:15:00,19.300,11.645,23.700,20.900,12.692,23.900,20.400,12.346,25.100,53.921,51.069,14.048,30.300,80.000
9-Feb-25 12:30:00,19.100,11.535,23.900,20.900,12.692,23.900,20.300,12.312,25.100,57.400,56.012,14.001,30.000,80.000
9-Feb-25 12:45:00,19.400,11.707,23.900,20.900,12.692,23.900,20.400,12.346,25.100,60.879,59.306,13.847,29.800,77.000
